gender,age_range,country,acct_age_weeks,user_id
female,0 - 17,US,55,2c095f9e64a74d109ed45eac13c3f5a2
female,25 - 29,US,183,2f3830acfaaf44c0beb88c523a4626c3
female,0 - 17,FR,90,84ab02aa0d314a8387ab1f987b8c30ae
male,18 - 24,IT,95,6a0da4e6c561477f84bec4ef42ec18be
male,25 - 29,US,7,7b3419aea6a94daba0251ae8c3970912
male,18 - 24,US,88,2a0619ac3a564cfdaa9990269f20b41a
female,25 - 29,BR,28,4b3780d5d75e42339ff0a0884d7a3c8b
female,18 - 24,US,188,9a857cbe77284100904d17357c4cb2c7
male,55+,NL,11,e44d3d00c0984456b9135a1f59898d0e
female,18 - 24,CZ,14,e839392133c445e3905f54abb7d39851
female,30 - 34,PL,9,7494619df380489699703fe94caf8d47
unknown,,IT,127,b48c394d00e648a587a285f5319200b3
male,25 - 29,ES,192,6a5ef8d289e14212839d8263365535fb
female,18 - 24,MX,4,b34d4c9bed364b6a8624b3c1974f6eb6
female,25 - 29,MX,60,d55854d909004c7694e9e9db70905979
female,35 - 44,UY,11,1be7e4eeca50497aa6b56807d4ba8a7f
female,35 - 44,CL,6,e361dee59b6d4047be12a4eff0ee31e7
female,18 - 24,AR,0,5576f968d4d24910b82d9618b0766f65
male,35 - 44,CA,122,7bcbefc15d814fecaf4066ffbc54005d
female,45 - 54,US,92,1a499a0ce99d41e9af0bed158eafb75f
female,35 - 44,ES,301,102492af39704d10a89e45285c7e1430
male,45 - 54,MX,24,341adeac6020470d8b2802b3a630f3b0
male,35 - 44,ES,302,517d9088df744169a6d285ae268f906e
male,35 - 44,GB,32,b1e5cb9ddaf94d238effcffee1ff06df
male,35 - 44,DE,12,247874ce4d3e4c65ad1b43f47317d50b
female,18 - 24,US,43,df5e75d30454435688e0f37c2d168e85
male,18 - 24,MX,13,599d03472e8a40ba95d22f2a3def1c07
male,18 - 24,GB,331,64a6517c6ea746c9a32711201ac9440a
female,30 - 34,FR,11,77908355b3354f0f9bffe51f08e3bbbb
male,18 - 24,US,17,e053d82e59aa42db8bd3e1bb83ccbe76
male,18 - 24,US,188,e8b5438baab74346a729566a3409b171
female,25 - 29,US,134,f40627d837774013a108de2dfa88ed67
male,25 - 29,CA,52,249aa0b30bb947ad919b0e9c73cb83d7
female,30 - 34,MX,111,9335ebee48af4fa9a102090cedaa96bf
male,25 - 29,US,36,9439f37a677440e0b632714b6a01fd02
male,30 - 34,US,1,d21755d79fd04a5788567cce63b2723f
female,35 - 44,BE,194,5780c966dd9645b596f93996e6c9a46a
female,18 - 24,US,69,ca341ffb6dd549c1a3aff73a03e85b03
female,30 - 34,ES,32,4c02dc39add04c0cbf8db8dd76652036
female,18 - 24,MX,39,58058282922140cc9e5cc556ef0fcfa6
male,35 - 44,DE,125,2c41b2b43bd047cb92d7435f610e9c63
female,30 - 34,ES,143,71e9e2ba56a848208bd5afb95751f02a
male,45 - 54,CA,32,595277032ac445f5a13812537ccd4770
male,18 - 24,US,26,624bb17e28d649df9a97ad23d099b719
female,35 - 44,SE,249,6aa686a66f8541f58b9b4dcb8988cc79
